# Constructed from biom file
#OTU ID	100907LG.C.1.RL	110308DK.C.1.RL	110412ET.C.1.RL	110418ML.C.1.RL	110601OG.C.1.RL	110720BB.C.1.RL	110727MK.C.1.RL	110801EH.C.1.RL	110921AR.C.1.RL	111003JG.C.1.RL	111115WK.C.1.RL	100804MB.C.1.RL	100716FG.C.1.RL	101007PC.C.1.RL	101026RM.C.1.RL	110222MG.C.1.RL	110330DS.C.1.RL	110406MB.C.1.RL	110420JR.C.1.RL	110523CB.C.1.RL
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	0.0	0.0	0.0	0.00112842557765	0.0	0.0	0.00160493034602	0.0	0.0	0.0	0.010049395333	0.0	0.0	0.0	0.000319502428218	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__JdFBGBact;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.00378763561661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__Candidatus Microthrix	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.000191168036704	0.0201307189542	0.00162273268184	0.0	0.000974817221771	0.0	0.00134814149066	0.0101320355818	0.000681298360018	0.00671981776765	0.0166070516096	0.162722627375	0.000468886060687	3.26509289189e-05	0.00166141262674	0.00016782143799	0.000105543124921	4.0193195292e-05	0.000657293095565	3.08638164961e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__	0.000254890715606	0.0	0.0	0.0	0.0036826428378	0.0	0.0	0.00351031154015	0.0	0.0	0.0	0.0	9.37772121375e-05	0.0	0.0	0.00103090311908	0.0	3.349432941e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	0.0127233115468	0.00245212938589	0.0	0.00232873002979	0.0246389124894	0.0	3.98899038653e-05	0.0161078397976	0.0	8.51643672288e-05	0.0	0.00739500301427	0.00275900349365	0.0245377864872	0.00875068926662	0.0344703845991	0.0305468284219	0.0341792409694	0.0150306786336
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__N09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__	0.0	0.0	0.0	0.0	0.00238288654211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__Salana	0.0	0.0	0.000865457430313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bogoriellaceae;g__Georgenia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
