OTU	12o	7o	2o	11o	4o	5o	13o	6o	1o	14o	3o	9o	15o	10o	8o
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.00036055525509284304	0.0004958319129814993	0.0021040387279974	0.0002813796984547565	0.0005569700827498409	0.0001732764409019039	0.0002231561721277941	0.0	0.005834659392286125	0.0	0.00014999250037498125	0.0008696434461870632	0.0	0.0016014092401313155	0.002419449033054679
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.004006169501031589	0.010334996436208126	0.004977847722335312	0.0004924144722958238	0.02048854232972629	0.00023825510624011782	0.005597500650872169	0.0012805175986925238	0.020497082670303857	0.003150433184562877	0.0072853500182133765	0.001709299187333193	0.001547508511296812	0.010369124829850269	0.0005339473728120671
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.0	0.0054386562955158185	0.00013684804734942442	0.0	0.0	0.007212631852541749	0.00022315617212779413	0.0005223163889403717	0.007028112449799197	0.0	0.0	0.00020991393528653246	0.0	0.00038033469453118747	0.00043383224040980463
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.0005208020351341067	0.0002014317146487341	0.0011974204143074634	0.00023448308204563042	0.0003580521960534691	0.0003682124369165458	0.0005206977349648531	0.00033697831544540107	0.0005872546790937332	0.0003500481316180975	0.0002142750005356875	0.00032986475545026536	0.0064995357474466105	0.00032028184802626315	0.0002502878310056565
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.004326663061114115	0.1146146456351297	0.012504490326553656	0.009097943583370462	0.002009070655633355	0.02048993913665013	0.0164391713467475	0.02094320230493168	0.04290747897249375	0.004988185875557889	0.005763997514409994	0.002878819683929589	0.004023522129371711	0.012170710224997995	0.014933840583337509
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.0911603869959738	0.1233071988595866	0.02663405121538172	0.011372429479213077	0.07634468491406747	0.02733435855227533	0.06064268977572802	0.02941820693838352	0.07738501174509359	0.054519996499518684	0.04557629261394073	0.019132155816115395	0.0009285051067780873	0.06067339258547521	0.019188733710433663
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0	0.0002634107037714215	3.4212011837356105e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.142750005356875e-05	0.0	0.0	0.0	1.6685855400377098e-05
